userName,content,score
Pengguna Google,Mesan kopi tanpa perlu antri! Membantu banget ni buat gue yang emang pelanggan setia kopi kenangan. Banyak cashback nya juga cuy!,5
Pengguna Google,"Aplikasi yg sngat membantu,tidak usah susah2 antri buat beli kopi enak",5
Pengguna Google,"Rasanya enak, harganya sedang lah gak mahal banget, banyak promo nya",5
Pengguna Google,baru pertama pake aplikasi ini langsung sukaaa😍 pilihan kopinya banyak dengan harga terjangkau. aplikasi ini juga jual minuman favorit aku jadi gampang kalo mau pesen😊,5
Pengguna Google,Bagus,5
Pengguna Google,Aplikasinya bagus soalnya bisa dpet promo sama kopi gratis,5
Pengguna Google,Kopinya enakkk. Dan pesannya pun mudah,5
Pengguna Google,Aplikasi mantap lah ini. Kopi anti galau. Keren. Buru download,5
Pengguna Google,"Kopi enak disupport dengan aplikasi yang userfriendly, asiknya bisa dapet kopi enak cuma dengan duduk manis",5
Pengguna Google,Aplikasi anti galau. Ngopi dulu ini. Ayo download biar manyosss,5
Pengguna Google,"Banyak varian kopinyaa, harganya terjangkau lagi. Mantul",5
Pengguna Google,"Kopinya enak murahhh pelayanan okeee, banyak cabang dimall jadi mudahhhhhhh",5
Pengguna Google,"Mantap jadi bisa order dari rumah, dan tau harganya mantap deh aplikasinya. Buat yang deket kopi kenangan berguna banget",5
Pengguna Google,"Aplikasi bagus, ada minuman faforit aku dan harga terjangkau.",5
Pengguna Google,"Tampilannya user friendly, unik dan aplikasinya mudah digunakan tidak ribet dan pastinya sekarang bisa memesan kopi kenangan tanpa perlu antri.",5
Pengguna Google,Aplikasi yang bagus. Memudahkan saya untuk pesan kopi kesuaan saya. Ditambah ada kode referral yang membuat saya dapat kopi gratis.,5
Pengguna Google,"Seminggu sekali harus minum kopi kenangan. Buat aku dari semua kopi yg udh pernah di coba, tetep kopi kenangan yg juara.. udh terlanjur jatuh hati sepertinya",5
Pengguna Google,"Saya suka dengan aplikasi nya sangat membatu ada fitur kopi gratis untuk kirim kode ke gebetan , kebetulan saya tinggal di serang banten, di tunggu opening nya kopi kenangan di mall of serang, sukses selalu .",5
Pengguna Google,Gokil.. Beli kopi kenangan langsung di app nya.👍,5
Pengguna Google,Bagus sekali kopi kenangan ini dan rasanya mantap banget di mulut.,5
Pengguna Google,"Kopinya enak bngt, hargnya terjangkau, tinggal duduk dirmh gak perlu antri i love it❤",5
Pengguna Google,Aplikasi kopi kenangan ini sangat bagus. Kita bisa pilih menu yang mana untuk kita beli makan dan minuman yang kita mau.,5
Pengguna Google,"Aplikasi sangat unik, mudah digunakan dan ringan sehingga tidak loading lama dalam proses pemesanan. Pemesanan dapat di pick up langsung maupun dijadwalkan, sangat fleksibel selain itu sistem pembayaran mudah karena bisa lewat ovo maupun gojek. Mantap.",5
Pengguna Google,Mantap.... Kopi enak,5
Pengguna Google,Aplikasi bagus. Harga terjangkau,5
Pengguna Google,Mantap nya kopi kenangan!!,5
Pengguna Google,Gak perlu antri lagi untuk minum kopi kenangan.. mau kumpulin point' sebanyak banyaknya supaya dapat cashback terus :),5
Pengguna Google,sangat bagus aplikasinya membantu orang lagi kepingin kopi yg mantap ⛾⛾⛾💕💕,5
Pengguna Google,Aplikasi yang bangus banget😁dan membantu banget klo mau me time sejenak sambil sebat dulu pas pulang kerja beban hidup rasanya hilang sejenak,5
Pengguna Google,Semenjak ada aplikasi ini sudah tidak susah cari tempat lain untuk ngopi..mantaplah untuk aplikasi ini sukses selalu,5
